filepath,filename,genre
./data\dangdut\Arsinta - Merayu Tuhan.mp3,Arsinta - Merayu Tuhan.mp3,dangdut
./data\dangdut\arsinta kau tercipta.mp3,arsinta kau tercipta.mp3,dangdut
./data\dangdut\ARSINTA SANES (mp3cut.net).mp3,ARSINTA SANES (mp3cut.net).mp3,dangdut
./data\dangdut\Dadi Siji - Ajeng Febria (mp3cut.net).mp3,Dadi Siji - Ajeng Febria (mp3cut.net).mp3,dangdut
./data\dangdut\Denny Caknan Cundamani (mp3cut.net).mp3,Denny Caknan Cundamani (mp3cut.net).mp3,dangdut
./data\dangdut\Denny Caknan Dumes feat Wawes (mp3cut.net).mp3,Denny Caknan Dumes feat Wawes (mp3cut.net).mp3,dangdut
./data\dangdut\DENNY CAKNAN FEAT. GILGA SAHID - NEMEN (OFFICIAL LIVE MUSIC).mp3,DENNY CAKNAN FEAT. GILGA SAHID - NEMEN (OFFICIAL LIVE MUSIC).mp3,dangdut
./data\dangdut\Denny Caknan Gelombang Asmoro feat Niken Salindry DC Musik (mp3cut.net).mp3,Denny Caknan Gelombang Asmoro feat Niken Salindry DC Musik (mp3cut.net).mp3,dangdut
./data\dangdut\Denny Caknan Ketintang New Version feat Nopek Novian DC Musik (mp3cut.net).mp3,Denny Caknan Ketintang New Version feat Nopek Novian DC Musik (mp3cut.net).mp3,dangdut
./data\dangdut\DESY MORENA KANGEN SETENGAH MATI (mp3cut.net).mp3,DESY MORENA KANGEN SETENGAH MATI (mp3cut.net).mp3,dangdut
./data\dangdut\DUMES - ARSINTA - GOYANG ESEK ESEK (mp3cut.net).mp3,DUMES - ARSINTA - GOYANG ESEK ESEK (mp3cut.net).mp3,dangdut
./data\dangdut\GUYON WATON - PELANGGARAN _ LIRIK LAGU TERJEMAHAN.mp3,GUYON WATON - PELANGGARAN _ LIRIK LAGU TERJEMAHAN.mp3,dangdut
./data\dangdut\Happy Asmara Banyu Moto feat Delva Irawan Bintang Fortuna (mp3cut.net).mp3,Happy Asmara Banyu Moto feat Delva Irawan Bintang Fortuna (mp3cut.net).mp3,dangdut
./data\dangdut\Happy Asmara Berlayar Tak Bertepian (Sepi Sekuntum Mawar Merah) (mp3cut.net).mp3,Happy Asmara Berlayar Tak Bertepian (Sepi Sekuntum Mawar Merah) (mp3cut.net).mp3,dangdut
./data\dangdut\Happy Asmara Kisinan (mp3cut.net).mp3,Happy Asmara Kisinan (mp3cut.net).mp3,dangdut
./data\dangdut\Happy Asmara Nemen feat Delva Irawan (mp3cut.net).mp3,Happy Asmara Nemen feat Delva Irawan (mp3cut.net).mp3,dangdut
./data\dangdut\Happy Asmara Sia Sia Mengharap Cintamu ft Delva (mp3cut.net).mp3,Happy Asmara Sia Sia Mengharap Cintamu ft Delva (mp3cut.net).mp3,dangdut
./data\dangdut\Happy Asmara Terendap Laraku (mp3cut.net).mp3,Happy Asmara Terendap Laraku (mp3cut.net).mp3,dangdut
./data\dangdut\Icha Kiswara and David Chandra Demi Kowe ft Ageng Music (mp3cut.net).mp3,Icha Kiswara and David Chandra Demi Kowe ft Ageng Music (mp3cut.net).mp3,dangdut
./data\dangdut\Jihan Audy Joko Tingkir (mp3cut.net).mp3,Jihan Audy Joko Tingkir (mp3cut.net).mp3,dangdut
./data\dangdut\KISINAN - GOYANG ESEK ESEK (Official Music Video ) Tiwas Tak Gondeli Tenanan (mp3cut.net).mp3,KISINAN - GOYANG ESEK ESEK (Official Music Video ) Tiwas Tak Gondeli Tenanan (mp3cut.net).mp3,dangdut
./data\dangdut\KISINAN 2 - ARSINTA H ESEK ESK.mp3,KISINAN 2 - ARSINTA H ESEK ESK.mp3,dangdut
./data\dangdut\KISINAN 2 - SHINTA ARSINTA (mp3cut.net).mp3,KISINAN 2 - SHINTA ARSINTA (mp3cut.net).mp3,dangdut
./data\dangdut\LAILA AYU KDI ft IRWAN D'ACADEMY - PENANTIAN BERUJUNG LUKA.mp3,LAILA AYU KDI ft IRWAN D'ACADEMY - PENANTIAN BERUJUNG LUKA.mp3,dangdut
./data\dangdut\Merayu Tuhan - Shinta(Official Music Video).mp3,Merayu Tuhan - Shinta(Official Music Video).mp3,dangdut
./data\dangdut\Nella Kharisma Runtah (Dangdut) (mp3cut.net).mp3,Nella Kharisma Runtah (Dangdut) (mp3cut.net).mp3,dangdut
./data\dangdut\Ressa Rungkad Happy Asmara Cover (mp3cut.net).mp3,Ressa Rungkad Happy Asmara Cover (mp3cut.net).mp3,dangdut
./data\dangdut\SANES - ARSINTA (Official Music Video)Ngancani Nanging Ora Iso Duweni (mp3cut.net).mp3,SANES - ARSINTA (Official Music Video)Ngancani Nanging Ora Iso Duweni (mp3cut.net).mp3,dangdut
./data\dangdut\Shepin Misa - Dumes.mp3,Shepin Misa - Dumes.mp3,dangdut
./data\dangdut\shinta - kau tercipta bukan untukku.mp3,shinta - kau tercipta bukan untukku.mp3,dangdut
./data\dangdut\SHINTA -DUMES- GOYANG ESEK ESEK (Official Music Video) Iseh So Kelingan Kabeh Kenangan (mp3cut.net).mp3,SHINTA -DUMES- GOYANG ESEK ESEK (Official Music Video) Iseh So Kelingan Kabeh Kenangan (mp3cut.net).mp3,dangdut
./data\dangdut\SHINTA ARSINTA - KISINAN - GOYANG ESEK ESEK (Official Music Video ) Tiwas Tak Gondeli Tenanan (mp3cut.net).mp3,SHINTA ARSINTA - KISINAN - GOYANG ESEK ESEK (Official Music Video ) Tiwas Tak Gondeli Tenanan (mp3cut.net).mp3,dangdut
./data\dangdut\Shinta Arsinta - Lilakno Aku.mp3,Shinta Arsinta - Lilakno Aku.mp3,dangdut
./data\dangdut\Shinta Arsinta - Santri Pekok Goyang Esek Esek Dangdut (Official Music Video) (mp3cut.net).mp3,Shinta Arsinta - Santri Pekok Goyang Esek Esek Dangdut (Official Music Video) (mp3cut.net).mp3,dangdut
./data\dangdut\Shinta Arsinta - Surga Dibalik Dosa (Official Live Music) (mp3cut.net) (1).mp3,Shinta Arsinta - Surga Dibalik Dosa (Official Live Music) (mp3cut.net) (1).mp3,dangdut
./data\dangdut\Shinta Arsinta feat Arya Galih - Lintang Asmoro (Official Music Video) Goyang Esek Esek (mp3cut.net).mp3,Shinta Arsinta feat Arya Galih - Lintang Asmoro (Official Music Video) Goyang Esek Esek (mp3cut.net).mp3,dangdut
./data\dangdut\Shinta Arsinta feat Arya Galih - Nyekso Batin (mp3cut.net).mp3,Shinta Arsinta feat Arya Galih - Nyekso Batin (mp3cut.net).mp3,dangdut
./data\dangdut\SHINTA TERLALU (Official Music Video).mp3,SHINTA TERLALU (Official Music Video).mp3,dangdut
./data\dangdut\Siti Badriah   Pipi Mimi (mp3cut.net).mp3,Siti Badriah   Pipi Mimi (mp3cut.net).mp3,dangdut
./data\dangdut\Sule Kandas feat Yulidaria Cover (mp3cut.net).mp3,Sule Kandas feat Yulidaria Cover (mp3cut.net).mp3,dangdut
./data\dangdut\Surga Dibalik Dosa - Sagita.mp3,Surga Dibalik Dosa - Sagita.mp3,dangdut
./data\dangdut\Tasya Rosmala Nemu Ft Gerry Mahesa (mp3cut.net).mp3,Tasya Rosmala Nemu Ft Gerry Mahesa (mp3cut.net).mp3,dangdut
./data\dangdut\TERLALU - SHINTA Aku Tak bisa Menahan Langkah Kakimu.mp3,TERLALU - SHINTA Aku Tak bisa Menahan Langkah Kakimu.mp3,dangdut
./data\dangdut\Trio Macan Sambalado (mp3cut.net).mp3,Trio Macan Sambalado (mp3cut.net).mp3,dangdut
./data\dangdut\Via Vallen Akhire Cidro (mp3cut.net).mp3,Via Vallen Akhire Cidro (mp3cut.net).mp3,dangdut
./data\dangdut\Via Vallen and Chevra Kau Cantik Hari Ini Koplo Version (mp3cut.net).mp3,Via Vallen and Chevra Kau Cantik Hari Ini Koplo Version (mp3cut.net).mp3,dangdut
./data\dangdut\Via Vallen Mencintai Dengan Ngeyel (Ra Kabeh Sing Mbok Perjuangke) (mp3cut.net).mp3,Via Vallen Mencintai Dengan Ngeyel (Ra Kabeh Sing Mbok Perjuangke) (mp3cut.net).mp3,dangdut
./data\dangdut\Wawas - NEMEN.mp3,Wawas - NEMEN.mp3,dangdut
./data\dangdut\Wirang - Shinta Arsinta - Goyang Esek Esek (mp3cut.net).mp3,Wirang - Shinta Arsinta - Goyang Esek Esek (mp3cut.net).mp3,dangdut
./data\dangdut\Wirang - Shinta Arsinta - Goyang.mp3,Wirang - Shinta Arsinta - Goyang.mp3,dangdut
./data\pop\Afgan Pendam (mp3cut.net).mp3,Afgan Pendam (mp3cut.net).mp3,pop
"./data\pop\Afgan, Andi Rianto Mengertilah Kasih (mp3cut.net).mp3","Afgan, Andi Rianto Mengertilah Kasih (mp3cut.net).mp3",pop
./data\pop\Andmesh Anugerah Terindah (mp3cut.net).mp3,Andmesh Anugerah Terindah (mp3cut.net).mp3,pop
./data\pop\Andmesh Putus Tapi Cinta (mp3cut.net).mp3,Andmesh Putus Tapi Cinta (mp3cut.net).mp3,pop
./data\pop\Atta Halilintar and Aurel Hermansyah Ameena Feat Ameena (mp3cut.net).mp3,Atta Halilintar and Aurel Hermansyah Ameena Feat Ameena (mp3cut.net).mp3,pop
./data\pop\Aulia and Ridwan Kamu Yang Kutunggu Cover (mp3cut.net).mp3,Aulia and Ridwan Kamu Yang Kutunggu Cover (mp3cut.net).mp3,pop
./data\pop\Aurelie Hermansyah Sembunyikan Luka (mp3cut.net).mp3,Aurelie Hermansyah Sembunyikan Luka (mp3cut.net).mp3,pop
./data\pop\Berdamai Raisa.mp3,Berdamai Raisa.mp3,pop
./data\pop\Cinta Tak Dibalas Cinta - Indah Aqila.mp3,Cinta Tak Dibalas Cinta - Indah Aqila.mp3,pop
./data\pop\Ghea Indrawari - Jiwa Yang Bersedih (Lirik).mp3,Ghea Indrawari - Jiwa Yang Bersedih (Lirik).mp3,pop
./data\pop\Idgitaf - Satu-Satu (Official Lyric Video).mp3,Idgitaf - Satu-Satu (Official Lyric Video).mp3,pop
./data\pop\Indah Yastami Setengah Mati Merindu Judika Cover (mp3cut.net).mp3,Indah Yastami Setengah Mati Merindu Judika Cover (mp3cut.net).mp3,pop
./data\pop\Itu Aku - raissa anggiani.mp3,Itu Aku - raissa anggiani.mp3,pop
./data\pop\Judika Aku Yang Terluka (mp3cut.net).mp3,Judika Aku Yang Terluka (mp3cut.net).mp3,pop
./data\pop\Judika Jikalau Kau Cinta.mp3,Judika Jikalau Kau Cinta.mp3,pop
./data\pop\Lihatlah Lebih Dekat - Yura Yunita.mp3,Lihatlah Lebih Dekat - Yura Yunita.mp3,pop
./data\pop\Lyodra Pesan Terakhir (mp3cut.net).mp3,Lyodra Pesan Terakhir (mp3cut.net).mp3,pop
./data\pop\Lyodra Tak Dianggap (mp3cut.net).mp3,Lyodra Tak Dianggap (mp3cut.net).mp3,pop
./data\pop\Mahalini Buru Buru (mp3cut.net).mp3,Mahalini Buru Buru (mp3cut.net).mp3,pop
./data\pop\Mahalini Sial (mp3cut.net).mp3,Mahalini Sial (mp3cut.net).mp3,pop
./data\pop\Mahalini x Rizky Febian Satu Tuju (mp3cut.net).mp3,Mahalini x Rizky Febian Satu Tuju (mp3cut.net).mp3,pop
./data\pop\perayaan mati rasa - Umay Shahab.mp3,perayaan mati rasa - Umay Shahab.mp3,pop
./data\pop\Raisa Apalah Arti Menunggu.mp3,Raisa Apalah Arti Menunggu.mp3,pop
./data\pop\Raisa Berdamai (mp3cut.net).mp3,Raisa Berdamai (mp3cut.net).mp3,pop
./data\pop\Raisa Bertahan (Pergi) (mp3cut.net).mp3,Raisa Bertahan (Pergi) (mp3cut.net).mp3,pop
./data\pop\Raisa Nyaman Tak Cukup (mp3cut.net).mp3,Raisa Nyaman Tak Cukup (mp3cut.net).mp3,pop
./data\pop\Raisa Tak Bisa Cukup.mp3,Raisa Tak Bisa Cukup.mp3,pop
"./data\pop\Raisa, Ahmad Dhani Biar Menjadi Kenangan (mp3cut.net).mp3","Raisa, Ahmad Dhani Biar Menjadi Kenangan (mp3cut.net).mp3",pop
./data\pop\Rayuan Perempuan Gila - Nadin Amizah.mp3,Rayuan Perempuan Gila - Nadin Amizah.mp3,pop
./data\pop\Rizky Febian Aminlah Bersamaku (mp3cut.net).mp3,Rizky Febian Aminlah Bersamaku (mp3cut.net).mp3,pop
./data\pop\Rizky Febian Membisu (mp3cut.net).mp3,Rizky Febian Membisu (mp3cut.net).mp3,pop
./data\pop\Rizky Febian Mungkinkan ini Cinta.mp3,Rizky Febian Mungkinkan ini Cinta.mp3,pop
./data\pop\Rizky Febian Satu Tuju (mp3cut.net.mp3,Rizky Febian Satu Tuju (mp3cut.net.mp3,pop
./data\pop\Rossa Ku tlah pergi.mp3,Rossa Ku tlah pergi.mp3,pop
./data\pop\Rossa Lupakan Cinta (mp3cut.net).mp3,Rossa Lupakan Cinta (mp3cut.net).mp3,pop
./data\pop\Rossa Terlalu Berharap (mp3cut.net).mp3,Rossa Terlalu Berharap (mp3cut.net).mp3,pop
./data\pop\Scalavacoustic Jikalau Kau Cinta Judika Cover (mp3cut.net).mp3,Scalavacoustic Jikalau Kau Cinta Judika Cover (mp3cut.net).mp3,pop
./data\pop\Separuh Nafas - Dewa 19.mp3,Separuh Nafas - Dewa 19.mp3,pop
./data\pop\Surat Hati - Devano.mp3,Surat Hati - Devano.mp3,pop
./data\pop\Tami Aulia Apalah Arti Menunggu Raisa Cover (mp3cut.net).mp3,Tami Aulia Apalah Arti Menunggu Raisa Cover (mp3cut.net).mp3,pop
./data\pop\Tami Aulia Jalan Pulang Cover.mp3,Tami Aulia Jalan Pulang Cover.mp3,pop
./data\pop\Tami Aulia- Buru Buru Cover.mp3,Tami Aulia- Buru Buru Cover.mp3,pop
./data\pop\Terlalu Berharap Rossa.mp3,Terlalu Berharap Rossa.mp3,pop
./data\pop\Tiara Andini Apalagi.mp3,Tiara Andini Apalagi.mp3,pop
./data\pop\Tiara Andini Tega (mp3cut.net).mp3,Tiara Andini Tega (mp3cut.net).mp3,pop
./data\pop\Yastami Setengah Mati Merindu Judika.mp3,Yastami Setengah Mati Merindu Judika.mp3,pop
"./data\pop\Yovie Widianto Menyesal ft Lyodra, Tiara Andini, Ziva Magnolya (mp3cut.net).mp3","Yovie Widianto Menyesal ft Lyodra, Tiara Andini, Ziva Magnolya (mp3cut.net).mp3",pop
./data\pop\Yovie Widianto Menyesal.mp3,Yovie Widianto Menyesal.mp3,pop
./data\pop\Yura Yunita Jalan Pulang (mp3cut.net).mp3,Yura Yunita Jalan Pulang (mp3cut.net).mp3,pop
./data\pop\Yura Yunita Lihatlah Lebih Dekat (mp3cut.net).mp3,Yura Yunita Lihatlah Lebih Dekat (mp3cut.net).mp3,pop
./data\rock\(Pov Drum Cover) Yang Terdalam NOAH.mp3,(Pov Drum Cover) Yang Terdalam NOAH.mp3,rock
./data\rock\ANGGI_MARITO_-_Tak_Segampang_Itu.mp3,ANGGI_MARITO_-_Tak_Segampang_Itu.mp3,rock
./data\rock\BATAS_SENJA_-_Nanti_Kita_Seperti_Ini_V2.mp3,BATAS_SENJA_-_Nanti_Kita_Seperti_Ini_V2.mp3,rock
./data\rock\Cover Drum View Kekasih Tolol - SUPERIOTS feat Manda Rose.mp3,Cover Drum View Kekasih Tolol - SUPERIOTS feat Manda Rose.mp3,rock
./data\rock\Cover Rock Drum View - Terendap Laraku Naff.mp3,Cover Rock Drum View - Terendap Laraku Naff.mp3,rock
./data\rock\Drum View Rock Cover - Jika Cinta Dia.mp3,Drum View Rock Cover - Jika Cinta Dia.mp3,rock
./data\rock\DUMES WAWES feat GUYON WATON.mp3,DUMES WAWES feat GUYON WATON.mp3,rock
./data\rock\FIVE_MINUTES_-_Selamat_Tinggal.mp3,FIVE_MINUTES_-_Selamat_Tinggal.mp3,rock
./data\rock\For_Revenge_X_Stereo_Wall_-_Jakarta_Hari_Ini.mp3,For_Revenge_X_Stereo_Wall_-_Jakarta_Hari_Ini.mp3,rock
./data\rock\GEISHA_-_Jika_Cinta_Dia.mp3,GEISHA_-_Jika_Cinta_Dia.mp3,rock
./data\rock\GEISHA_-_Karena_Kamu.mp3,GEISHA_-_Karena_Kamu.mp3,rock
./data\rock\GHEA_INDRAWARI_-_Jiwa_Yang_Bersedih_(Pov_Drum_Cover_by_Sunguiks).mp3,GHEA_INDRAWARI_-_Jiwa_Yang_Bersedih_(Pov_Drum_Cover_by_Sunguiks).mp3,rock
./data\rock\GOLIATH - Masih Disini Masih Denganmu.mp3,GOLIATH - Masih Disini Masih Denganmu.mp3,rock
./data\rock\J-Rocks - Ceria (Lyrics).mp3,J-Rocks - Ceria (Lyrics).mp3,rock
./data\rock\Jamrud_-_Putri.mp3,Jamrud_-_Putri.mp3,rock
./data\rock\Kenangan Sebuah Mimpi Tinky Winky Cover.mp3,Kenangan Sebuah Mimpi Tinky Winky Cover.mp3,rock
./data\rock\KOMANG - Raim Laode_.mp3,KOMANG - Raim Laode_.mp3,rock
./data\rock\Komang Rock Cover - Laode.mp3,Komang Rock Cover - Laode.mp3,rock
./data\rock\KOTAK - Satu Indonesia (Video Lyrics).mp3,KOTAK - Satu Indonesia (Video Lyrics).mp3,rock
./data\rock\kotak___beraksi.mp3,kotak___beraksi.mp3,rock
./data\rock\Last Child - Seluruh Nafas Ini ft. Giselle (mp3cut.net).mp3,Last Child - Seluruh Nafas Ini ft. Giselle (mp3cut.net).mp3,rock
./data\rock\Lo Toe Ye - Rif.mp3,Lo Toe Ye - Rif.mp3,rock
./data\rock\Mario_G_Klau_-_Semata_Karenamu.mp3,Mario_G_Klau_-_Semata_Karenamu.mp3,rock
./data\rock\Masih Disini Denganmu Cover Rock Goliath.mp3,Masih Disini Denganmu Cover Rock Goliath.mp3,rock
./data\rock\NaFF - Terendap Laraku.mp3,NaFF - Terendap Laraku.mp3,rock
./data\rock\Nike Ardilla - Cover Rock Bintang Kehidupan.mp3,Nike Ardilla - Cover Rock Bintang Kehidupan.mp3,rock
./data\rock\Nike_Ardilla_-_Bintang_Kehidupan.mp3,Nike_Ardilla_-_Bintang_Kehidupan.mp3,rock
./data\rock\NOAH - Yang Terdalam (Pov Drum Cover).mp3,NOAH - Yang Terdalam (Pov Drum Cover).mp3,rock
./data\rock\OUR STORY - Tersimpan (mp3cut.net).mp3,OUR STORY - Tersimpan (mp3cut.net).mp3,rock
./data\rock\Pujaan_Hati_Pop_Goes_Punk_Vol.1_V2.mp3,Pujaan_Hati_Pop_Goes_Punk_Vol.1_V2.mp3,rock
./data\rock\Radja - Rif.mp3,Radja - Rif.mp3,rock
./data\rock\Rock Cover (Drum View) Batas Senja Nanti Kita Seperti Ini.mp3,Rock Cover (Drum View) Batas Senja Nanti Kita Seperti Ini.mp3,rock
./data\rock\Rock Cover (Drum View) FIVE MINUTES - Selamat Tinggal.mp3,Rock Cover (Drum View) FIVE MINUTES - Selamat Tinggal.mp3,rock
./data\rock\Rock Cover - Dumes Guyo Waton.mp3,Rock Cover - Dumes Guyo Waton.mp3,rock
./data\rock\Rock Cover Kemarin by Seventeen.mp3,Rock Cover Kemarin by Seventeen.mp3,rock
./data\rock\Rock Cover Last Child - Seluruh Nafas Ini.mp3,Rock Cover Last Child - Seluruh Nafas Ini.mp3,rock
./data\rock\Rock Cover Runtuh (Drum View).mp3,Rock Cover Runtuh (Drum View).mp3,rock
./data\rock\Rock Cover SHINE OF BLACK - Jang Ganggu.mp3,Rock Cover SHINE OF BLACK - Jang Ganggu.mp3,rock
./data\rock\Rock Drum View Tipe X  Mawar Hitam.mp3,Rock Drum View Tipe X  Mawar Hitam.mp3,rock
./data\rock\RUNTUH - Feby Putri.mp3,RUNTUH - Feby Putri.mp3,rock
./data\rock\Sanca_Records_Melayang_Judika_Rock_Cover.mp3,Sanca_Records_Melayang_Judika_Rock_Cover.mp3,rock
./data\rock\SEVENTEEN - KEMARIN.mp3,SEVENTEEN - KEMARIN.mp3,rock
./data\rock\SHINE OF BLACK - Jang Ganggu (mp3cut.net).mp3,SHINE OF BLACK - Jang Ganggu (mp3cut.net).mp3,rock
./data\rock\Slank___Terlalu_Manis.mp3,Slank___Terlalu_Manis.mp3,rock
./data\rock\SUPERIOTS feat Manda Rose - Kekasih Tolol (mp3cut.net).mp3,SUPERIOTS feat Manda Rose - Kekasih Tolol (mp3cut.net).mp3,rock
./data\rock\Terapi Energi - St.Loco.mp3,Terapi Energi - St.Loco.mp3,rock
./data\rock\Tersimpan Cover.mp3,Tersimpan Cover.mp3,rock
./data\rock\TINKY WINKY - Kenangan Sebuah Mimpi (mp3cut.net).mp3,TINKY WINKY - Kenangan Sebuah Mimpi (mp3cut.net).mp3,rock
./data\rock\Tipe_X___Mawar_Hitam.mp3,Tipe_X___Mawar_Hitam.mp3,rock
./data\rock\YANGSEKU_-_Pujaan_Hati_Pop_Goes_Punk_Vol.1_V1.mp3,YANGSEKU_-_Pujaan_Hati_Pop_Goes_Punk_Vol.1_V1.mp3,rock
